User ID,Preferred Category,Budget,Weather Preference,Trip Duration,Travel History,Rating History
1,Beach,Low,Cold,Medium,"Destination16,Destination15","2,1"
2,Spiritual,Low,Cold,Medium,"Destination3,Destination2","1,2"
3,Historical,High,Cold,Short,"Destination36,Destination13","5,4"
4,Historical,Medium,Cold,Medium,"Destination1,Destination49","2,4"
5,Nature,Medium,Sunny,Short,"Destination49,Destination22","1,1"
6,Adventure,Low,Rainy,Medium,"Destination39,Destination17","1,4"
7,Spiritual,Low,Rainy,Short,"Destination36,Destination19","5,3"
8,Spiritual,Low,Cold,Short,"Destination3,Destination43","2,3"
9,Beach,Low,Sunny,Medium,"Destination18,Destination30","3,2"
10,Nature,Medium,Sunny,Long,"Destination18,Destination45","1,5"
11,Historical,High,Cold,Short,"Destination11,Destination30","4,3"
12,Spiritual,Low,Cold,Medium,"Destination50,Destination50","1,2"
13,Beach,Medium,Rainy,Medium,"Destination5,Destination14","5,3"
14,Historical,High,Rainy,Medium,"Destination42,Destination30","2,3"
15,Historical,Low,Cold,Long,"Destination35,Destination17","5,4"
16,Spiritual,Medium,Rainy,Short,"Destination9,Destination33","4,1"
17,Beach,Low,Sunny,Long,"Destination11,Destination44","4,5"
18,Beach,Medium,Rainy,Long,"Destination30,Destination34","3,5"
19,Beach,High,Cold,Short,"Destination44,Destination35","3,3"
20,Beach,Medium,Rainy,Short,"Destination30,Destination1","3,5"
21,Historical,High,Sunny,Long,"Destination20,Destination41","5,5"
22,Historical,Low,Rainy,Short,"Destination35,Destination50","5,1"
23,Spiritual,Medium,Rainy,Short,"Destination8,Destination24","3,2"
24,Beach,Low,Cold,Short,"Destination6,Destination47","4,1"
25,Spiritual,Low,Sunny,Long,"Destination31,Destination36","2,3"
26,Spiritual,High,Rainy,Short,"Destination35,Destination49","2,3"
27,Adventure,High,Cold,Medium,"Destination29,Destination34","4,1"
28,Historical,Low,Sunny,Medium,"Destination2,Destination38","5,2"
29,Spiritual,Low,Sunny,Short,"Destination46,Destination41","1,2"
30,Beach,Low,Rainy,Short,"Destination33,Destination16","3,4"
31,Historical,High,Sunny,Long,"Destination37,Destination37","4,2"
32,Adventure,Medium,Sunny,Short,"Destination7,Destination43","4,3"
33,Adventure,Medium,Rainy,Long,"Destination4,Destination44","1,1"
34,Adventure,High,Rainy,Short,"Destination16,Destination13","2,5"
35,Adventure,Low,Rainy,Short,"Destination18,Destination30","2,1"
36,Adventure,High,Sunny,Short,"Destination42,Destination35","1,1"
37,Historical,Low,Rainy,Medium,"Destination31,Destination14","4,1"
38,Historical,Medium,Sunny,Medium,"Destination17,Destination30","3,4"
39,Spiritual,High,Cold,Medium,"Destination10,Destination13","3,2"
40,Beach,High,Cold,Long,"Destination4,Destination48","3,1"
41,Beach,High,Rainy,Long,"Destination34,Destination11","1,5"
42,Beach,Low,Sunny,Long,"Destination5,Destination44","2,4"
43,Beach,High,Sunny,Long,"Destination39,Destination3","5,1"
44,Adventure,High,Cold,Long,"Destination34,Destination21","3,2"
45,Nature,Low,Rainy,Medium,"Destination9,Destination43","3,4"
46,Nature,Low,Sunny,Medium,"Destination40,Destination37","1,1"
47,Spiritual,Low,Cold,Medium,"Destination9,Destination23","1,2"
48,Nature,Medium,Sunny,Medium,"Destination35,Destination46","3,5"
49,Spiritual,Low,Cold,Long,"Destination20,Destination43","1,2"
50,Nature,Low,Sunny,Long,"Destination36,Destination10","3,3"
51,Spiritual,Low,Cold,Medium,"Destination14,Destination44","3,5"
52,Adventure,Medium,Sunny,Short,"Destination41,Destination28","3,1"
